Type Product,Name,Brand,Composition,Price,Oily,Dry,Sensitive,Image,Link,Rank
moisturizer,5X Ceramide Barrier Repair Moisturize Gel Moisturizer 30g,Skintific,"Aqua, Butylene Glycol, Hydrogenated Polyisobutene, Dimethicone, Glycerin, Propylene Glycol, 1,2-Hexanediol, Hydroxyacetophenone, Peg-400, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Hydrogenated Lecithin, Panthenol, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Carbomer, Allantoin, Pca, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Ceramide Np, Ceramide Ns/Ceramide Ng, Ceramide As, Ceramide Eop, Ceramide Ap, Sodium Hyaluronate, Hydrolyzed Collagen, Centella Asiatica Extract, Sodium Hydroxide, Hamamelis Virginiana (Witch Hazel) Extract, Trehalose, Ectoin, Sophora, Flavescens Root Extract, Opuntia Ficus-Indica Stem Extract, Ophiopogon Japonicus Root Extract, Yeast Polysaccharides, Pentylene Glycol, Disodium Edtatocopherol, Polysorbate 60, T-Butyl Alcohol, Citrus Aurantium Amara (Bitter Orange) Flower Oil, Sorbitan Isostearate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Medica Limonum (Lemon) Peel Oil
",136.900,1,1,1,https://storage.googleapis.com/public-picture-media-bucket/product_images/Moist%201.jpg,https://www.tokopedia.com/skintificindonesia/skintific-moisturizer-5x-ceramide-barrier-moisture-gel-30gr,1
moisturizer,Hyalucera Moisturizer Gel,Originote,"Water, glycerin, butylene glycol, glycereth-26, 1,2-hexanediol, hydroxyacetophenone, acrylates/c10-30 alkyl acrylate crosspolymer, panthenol, hydroxyethylpiperazine ethane sulfonic acid, diglycerin, propylene glycol, triethanolamine, methylpropanediol, sodium hyaluronate, allantoin, glucose, sophora angustifolia root extract, stephania tetrandra extract, hydrolyzed hyaluronic acid, cnidium monnieri fruit extract, glycyrrhiza uralensis (licorice) root extract, phellodendron amurense bark extract, phenoxyethanol, caprylic/capric triglyceride, chlorella vulgaris extract, spirulina platensis extract, hydrogenated lecithin, chlorphenesin, hexylene glycol, stearic acid, cholesterol, ceramide NP",42.000,1,1,1,https://storage.googleapis.com/public-picture-media-bucket/product_images/Moist%202.jpg,https://www.tokopedia.com/theoriginote/the-originote-hyalucera-moisturizer-gel-50ml?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch,2
moisturizer,SOMETHINC CERAMIC SKIN Saviour Moisturizer Gel - 50ml,Somethinc,"Water, Glycerin, Dimethicone, Butylene Glycol, Pentylene Glycol, 1,2-Hexanediol, Bisabolol, Caprylic/​Capric Triglyceride, Hydroxyacetophenone, Carbomer, Polyacrylamide, Tromethamine, C13-14 Isoparaffin, Allantoin, Sodium Hyaluronate, Hydrogenated Lecithin, Avena Sativa (Oat) Kernel Extract, Anthemis Nobilis Flower Extract, Laureth-7, Hydrolyzed Algae Extract (Retired), Disodium EDTA, Ceramide NP, Hydrolyzed Collagen, Caprylyl Glycol, Caffeine, N-Prolyl Palmitoyl Tripeptide-56 Acetate, Magnesium Aspartate, Zinc Gluconate, Tetrahexyldecyl Ascorbate, Phenoxyethanol, Copper Gluconate",299.000,0,1,1,https://storage.googleapis.com/public-picture-media-bucket/product_images/Moist%203.jpg,https://www.tokopedia.com/somethinc/somethinc-ceramic-skin-saviour-moisturizer-gel-50ml-5d13?extParam=whid%3D6131772,3
moisturizer,Emina Ms. Pimple Acne Solution Moisturizing Gel 20 mL Twin Pack,Emina,"Aqua, Ethylhexyl Methoxycinnamate, Propylene Glycol, 4-Methylbenzylidene Camphor, Acrylates Copolymer, Dimethicone, Polyacrylamide, Cyclopentasiloxane, Butylene Glycol, Benzyl Alcohol, Panthenol, Triethanolamine, C13-14 Isoparaffin, Polysorbate 60, Ethylhexylglycerin, Fragrance, Aloe Barbadensis (Aloe Vera) Leaf Extract, Epilobium Angustifolium Extract, Laureth-7, Beta-Glucan, Carbomer, Titanium Dioxide, Tocopheryl Acetate, Dimethicone Crosspolymer, Dimethicone/​Vinyl Dimethicone Crosspolymer, Phenoxyethanol, Dimethiconol, Sodium Metabisulfite, Hamamelis Virginiana (Witch Hazel) Extract, Potassium Sorbate, Sodium Benzoate, Tocopherol",47.600,1,0,1,https://storage.googleapis.com/public-picture-media-bucket/product_images/Moist%204.jpg,https://www.tokopedia.com/emina-official/emina-ms-pimple-acne-solution-moisturizing-gel-20-ml-twin-pack?extParam=ivf%3Dtrue&src=topads,4
moisturizer,Cera-Mug Barrier Moisturizing Gel,Whitelab,"Aqua, Cyclopentasiloxane, Glyserin, Artemisia Capillaris Extract, Centella Asiatica Extract, Isononyl Isononanoate, Butylene Glycol, Glucosyl Ceramide, Ceramide NP, Ceramide AP, Ceramide EOP, Soluble/​Marine Collagen, Phospholipids, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Sodium Hyaluronate, Sodium Carboxymethyl Hyaluronate, Sodium Acetylated Hyaluronate, Potassium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Sodium Hyaluronate, Dimethylsilanol Hyaluronate, Panthenol, Cholesterol, Phytosphingosine, Allantoin, Sodium PCA, Carbomer, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Sodium Polyacrylate, Dicaprylyl Carbonate, Polyglyceryl-2 Caprate, Xanthan Gum, DMDM Hydantoin, Triethanolamine, 1,2-Hexanediol, Pentylene Glycol, Perfume",86.000,1,1,1,https://storage.googleapis.com/public-picture-media-bucket/product_images/Moist%205.jpg,https://www.tokopedia.com/whitelab/whitelab-cera-mug-barrier-moisturizing-gel-pelembap-kulit-kering-20-gr?src=topads,5
facewash,Brightening Facial Wash,Whitelab,"Aqua, Palmitic Acid, Glycerin, Lauric Acid, Sodium Laureth Sulfate, Potassium Hydroxide, Stearic Acid, Cocamide DEA, Propylene Glycol, Glycol Distearate, Disodium Cocoyl Glutamate, Sodium Chloride, Parfum, Cocamidopropyl Betaine, DMDM Hydantoin, Licorice Glycyrrhiza Glabra Extract, Niacinamide, Allantoin, Collagen, Polyquaternium-7, Tetrasodium EDTA",36.206,1,1,1,https://storage.googleapis.com/public-picture-media-bucket/product_images/facewash%201.jpeg,https://www.tokopedia.com/whitelab/whitelab-brightening-facial-wash-sabun-pembersih-muka-pencerah-100gr?extParam=whid%3D8408040,1
facewash,Low pH Gentle Jelly Cleanser 15ml,Somethinc,"Water, Potassium Laureth Phosphate, Glycerin, Potassium Cocoyl Glutamate, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Centella Asiatica Leaf Water, Caprylic/​Capric Triglyceride, Aspartic Acid, Caprylyl Glycol, Sodium Cocoyl Glutamate, 1,2-Hexanediol, Lauryl Hydroxysultaine, Coco-Glucoside, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Glyceryl Caprylate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sodium Cocoyl Isethionate, Disodium EDTA, Calendula Officinalis Flower Extract, Mentha Piperita (Peppermint Oil) Oil, Quillaja Saponaria Bark Extract, Artemisia Capillaris Extract",39.000,1,1,1,https://storage.googleapis.com/public-picture-media-bucket/product_images/facewash%202.jpg,https://www.tokopedia.com/dkmall/somethinc-low-ph-gentle-jelly-cleanser-sabun-wajah-face-wash-somethinc-15ml?extParam=ivf%3Dfalse%26src%3Dsearch,2
facewash,Aloe Hydramild Facial Wash 100ml,Wardah,"Aqua, Acrylates Copolymer, Cocamidopropyl Betaine, Propylene Glycol, Glycerin, Sodium Lauroyl Sarcosinate, Decyl Glucoside, Sodium PCA, Potassium Cocoyl Glycinate, Sodium Laureth Sulfate, Potassium Cocoate, Sodium Chloride, Phenoxyethanol, Sodium Hydroxide, Dmdm Hydantoin, Ethylhexylglycerin, Disodium EDTA, Aloe Barbadensis (Aloe Vera) Leaf Extract, Potassium Sorbate, Sodium Benzoate",25.500,1,1,1,https://storage.googleapis.com/public-picture-media-bucket/product_images/facewash%203.jpg,https://www.tokopedia.com/wardah-official/wardah-nature-daily-aloe-hydramild-facial-wash-gel-pembersih-wajah-100-ml?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch,3
facewash,Age Defy Cream Cleanser Deep Moisturizer 150ml,Safi,"Aqua, Myristic Acid, Glycerin, Stearic Acid, Palmitic Acid, Potassium Hydroxide, Potassium Cocoyl Glycinate, Methylpropanediol, Glyceryl Stearate, Avocado (Persea Gratissima) Oil, Lauric Acid, Mica, Pentasodium Triphosphate, Polyquaternium-10, BHT, Tetrasodium EDTA, Carnosine, Acetyl Heptapeptide-9, Colloidal Gold, Sericin, Sodium Ascorbyl Phosphate, Fragrance, Methylisothiazolinone, Ci 77491, Ci 77891",66.420,1,1,0,https://storage.googleapis.com/public-picture-media-bucket/product_images/facewash%204.jpg,https://www.tokopedia.com/safiofficial/safi-age-defy-anti-aging-cream-cleanser-deep-moisturiser-150ml?extParam=ivf%3Dfalse&src=topads,4
facewash,Sariayu Acne Care Facial Foam,Sariayu,"Water, myristic acid, stearic acid, lauryl glucoside, lauric acid, glycol stearate, PEG-160 sorbitan trisostearate, glycol distearate, sodium laureth sulfate, cocamide MEA, laureth-10,propylene glycol, PEG-80 glyceryl cocoate, styrene/acrylate copolymer, potassium hydroxide, acrylates/C10-30 alkyl acylate crosspolymer, glyceryl stearate, PEG-100 stearate, phenoxyehanol, methylparaben, ethylparaben, propylparaben, butylparaben, chamomilla recutita flower water, PEG-40 hydrogenated, castor oil.",20.202,1,1,0,https://storage.googleapis.com/public-picture-media-bucket/product_images/facewash%205.png,https://www.tokopedia.com/sariayuofficial/sariayu-acne-care-facial-foam?extParam=ivf%3Dfalse&src=topads,5
